time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
0.346574,0.001656024678208942,0.01225657921713683,-0.0
0.371492,0.0008108876864942965,0.012310091393730007,-0.0
0.3965,0.00023504417721125138,0.012385865299175673,-0.0
0.421507,0.00041145326320559707,0.012465034184635113,-0.0
0.446514,0.0005814562123302243,0.012547809178438793,-0.0
0.471514,-1.0978335355972134e-05,0.012653413356865394,-0.0
0.496521,-0.0002952504246787962,0.012774165041974709,-0.0
0.521529,6.42766253945719e-05,0.012893952876788321,-0.0
0.546536,0.00015116043442922025,0.013019707941052318,-0.0
0.571536,0.00018271344373284039,0.013152900978624475,-0.0
0.596543,0.00016347073666576762,0.013294893405581796,-0.0
0.621551,8.902542743960732e-05,0.013447163007993842,-0.0
0.646558,0.0003415616756269717,0.013601584423003299,-0.0
0.671565,0.00018034921816986765,0.013768658585168406,-0.0
0.696569,0.0001640131693305329,0.01394484834700938,-0.0
0.721576,-0.00010495557410031807,0.01413661730120651,-0.0
0.746584,0.00011307421349939927,0.014331841587171747,-0.0
0.771591,0.0006686994484930413,0.014522156123065606,-0.0
0.796595,0.0010747299019685046,0.014711442644149222,-0.0
0.821602,0.0018097582817784745,0.014891548490845497,-0.0
0.846606,0.0018306766728047592,0.01508054312626005,-0.0
0.871609,0.001142481008500604,0.015296376015330607,-0.0
0.896613,0.00020226463649553245,0.01554552042617461,-0.0
0.92162,9.751553384858887e-06,0.01580933360641485,-0.0
0.946628,-0.0002652554916040058,0.01609005657436436,-0.0
0.971635,-8.795492401530937e-05,0.016376493977267502,-0.0
0.996643,0.00018414431428403566,0.01666644328735756,-0.0
1.02165,0.000808853840096427,0.01695122177656838,-0.0
1.046653,0.000723623991207956,0.01724886021832269,-0.0
1.071661,0.0005022873458367767,0.017562969058217987,-0.0
1.096668,0.0007017612652484593,0.017883166013192318,-0.0
1.121668,0.0005636946605317016,0.018218140644623678,-0.0
1.146675,0.0006496566411091187,0.018562471751403638,-0.0
1.171683,0.0007827408083496067,0.018915192185922497,-0.0
1.19669,0.0011905344688868471,0.019269617644560092,-0.0
1.22169,0.001755834480038032,0.01962201185988354,-0.0
1.246698,0.002986509796511887,0.01995586741280479,-0.0
1.271705,0.004733762603269316,0.020258406539016265,-0.0
1.296712,0.007345862756505842,0.020508074770845326,-0.0
1.321715,0.006191180829826395,0.020799742000194195,-0.0
1.346719,0.0056004302861359725,0.021119413123124972,-0.0
1.371727,0.006044016161137223,0.02144128286646328,-0.0
1.396734,0.009597035082576484,0.021687371074696937,-0.0
1.421737,0.014589704851498282,0.02182163471958417,-0.0
1.446741,0.02043675296678886,0.021822676178783793,-0.0
1.471749,0.02792451255003977,0.02164924202778117,-0.0
1.496756,0.04248309026103671,0.021123433821072454,-0.0
1.521756,0.06582963099320048,0.020023954408031824,-0.0
1.546763,0.10301779109019014,0.018002074711400497,-0.0
1.571771,0.1592884833816473,0.014576704872230522,-0.0
1.696037,0.24763766103215945,0.008939097200471785,-0.052316
1.721043,0.46011712858934717,-0.002035447088591602,-0.068904
1.746041,0.5236800820130554,-0.014609506441854658,-0.074008
1.771045,0.47364281322045765,-0.025934664125915607,-0.074008
1.796045,0.3472321687125841,-0.034097746419813446,-0.074008
1.821054,0.25689889045979286,-0.04001104424218427,-0.074008
1.846059,0.18856040027162146,-0.044231333512828264,-0.074008
1.871064,0.1326476776864795,-0.04707371614707795,-0.074008
1.896067,0.08395534305118012,-0.04872153874446407,-0.074008
1.92107,0.03630861341036358,-0.04920213380782921,-0.074008
1.946074,-0.008145470484473685,-0.04859608113023876,-0.074008
1.971081,-0.049582360259245215,-0.0469788619431019,-0.074008
1.996085,-0.0942701791395267,-0.04426771237684297,-0.074008
2.021092,-0.13675582405607223,-0.04051628989118655,-0.074008
2.0461,-0.16464328590084226,-0.036089279771030075,-0.074008
2.071107,-0.18886105842488082,-0.031076153908064452,-0.074008
2.096115,-0.21173182433996415,-0.025507612056896833,-0.074008
2.121121,-0.2282033194531506,-0.01954103706099411,-0.074008
2.146126,-0.23968977387278242,-0.013298000687627265,-0.074008
2.171133,-0.24154641801560706,-0.007016688101245172,-0.074008
2.196137,-0.23532865008405995,-0.0008961513027993528,-0.074008
2.221144,-0.22266186642063412,0.004905325059922305,-0.074008
2.246148,-0.2085133318629443,0.01035415163157738,-0.074008
2.271155,-0.19040265145322482,0.015354149002035022,-0.074008
2.296159,-0.16217072674769578,0.01965398950342831,-0.074008
2.321166,-0.1232521047398808,0.022987685051431256,-0.074008
2.34617,-0.07264224621117338,0.02506337858903837,-0.074008
2.371173,-0.04593172554773526,0.026483307858488403,-0.074008
2.396177,-0.026215668368378138,0.02742423950390467,-0.074008
2.421184,0.00337601998668631,0.02763845532904667,-0.074008
2.446188,0.035741576856864334,0.02705634455873917,-0.074008
2.471192,0.06880424427347279,0.025660011007940256,-0.074008
2.496195,0.10171335091349165,0.02345243301950807,-0.074008
2.521198,0.13413428547388667,0.020444489523401194,-0.074008
2.546206,0.16125344108046155,0.016767586871480236,-0.074008
2.57121,0.1854789849725325,0.01249215747839133,-0.074008
2.596214,0.20598340375898144,0.00770906237089608,-0.074008
2.621217,0.2214956907711686,0.002540799836296681,-0.074008
2.646229,0.23227213284203932,-0.002896819430744768,-0.074008
2.671232,0.23661958538877875,-0.008445582566489002,-0.074008
2.696236,0.23434559045202394,-0.013942507807875787,-0.074008
2.721239,0.22701323245929744,-0.019263882845843433,-0.074008
2.74624,0.21513101951783942,-0.024298670322992627,-0.074008
2.771241,0.197624357010189,-0.028908632065831774,-0.074008
2.796244,0.17468070734666596,-0.03295997487549701,-0.074008
2.821252,0.14477074886758312,-0.03628009908675875,-0.074008
2.84626,0.11261087467065772,-0.03881453182727296,-0.074008
2.871263,0.07828689767763838,-0.04051046117531365,-0.074008
2.896272,0.04183841817672847,-0.041315540799516576,-0.074008
2.921275,0.005730230616889015,-0.04123883599632443,-0.074008
2.946279,-0.031307932144293324,-0.04025691495567115,-0.074008
2.971287,-0.05881879178908002,-0.038608711591510594,-0.074008
2.996294,-0.08980463790997184,-0.03620580874225409,-0.074008
3.021302,-0.11825360526362422,-0.03311047457238585,-0.074008
3.046309,-0.1439765922490081,-0.029389294250785347,-0.074008
3.071309,-0.170423701872922,-0.02502170781169652,-0.074008
3.096316,-0.18985263169672748,-0.020181419229344993,-0.074008
3.121324,-0.20181460207502996,-0.015053117750018413,-0.074008
3.146331,-0.20754781808898648,-0.009790177077913381,-0.074008
3.171338,-0.2067700388927802,-0.004552982465038824,-0.074008
3.196345,-0.19774556927766174,0.00045442220329441896,-0.074008
3.221353,-0.18794092546721708,0.005215586001300121,-0.074008
3.246364,-0.18015591534696027,0.009784300751499858,-0.074008
